Media tiempo;Desviacion estandar tiempo;Varianza tiempo;Entropia tiempo;kurtosis tiempo;MSE tiempo;Tiempo en alcanzar el pico maximo en frecuencia;RMS tiempo;Peak2peak tiempo;TIEMPO peak2rms;TIEMPO ENERGIA;TIEMPO CRUCES POR CERO;TIEMPO DENSIDAD DE NUMERO DE PICOS SOBRE RMS;Picos;Max. Frecuencia;Entropia frecuencia;Media frecuencia;Desviacion estandar frecuencia;Varianza frecuencia;Energia senal;Kurtosis frecuencia;MSE frecuencia;Valor FFT umbral 10Hz - 20 Hz   ;Frequency FFT umbral 10Hz - 20 Hz   ;FFT umbral 20Hz - 30 Hz   ;Frecuecia umbral 20-30;FFT rms;FFT peak2rms;FFT ENERGIA;FFT DENSIDAD DE N?MERO DE PICOS SOBRE RMS;FFT 2DO PICO MAS ALTO;FREC 2do PICO en FFT;FFT 3ER PICO MAS ALTO;FREC 3er pico FFT;WAV A6 FFT VMAX;FREC MAX WAV A6;WAV A6 FFT frec media;WAV D6 FFT VMAX;FREC MAX WAV D6;WAV D6 FFT frec media;WAV D5 FFT VMAX;FREC MAX WAV D5;WAV D5 FFT frec media;WAV D4 FFT VMAX;FREC MAX WAV D4;WAV D4 FFT frec media;WAV D3 FFT VMAX;FREC MAX WAV D3;WAV D3 FFT frec media;WAV D2 FFT VMAX;FREC MAX WAV D2;WAV D2 FFT frec media;WAV D1 FFT VMAX;WAV D1 FFT frec media;WAV MEDIA DE LA ENERGIA;percentage of energy D6;percentage of energy D5;percentage of energy D4;percentage of energy D3;percentage of energy D3;percentage of energy D1;percentage of energy A6;WAV A6 (RMS) root-mean-square ;WAV A6 the difference between the maximum and minimum values;WAV A6 the ratio of the largest absolute value to the root-mean-square (RMS).;WAV D6 (RMS) root-mean-square ;WAV D6 the difference between the maximum and minimum values;WAV D6 the ratio of the largest absolute value to the root-mean-square (RMS).;WAV D5 (RMS) root-mean-square ;WAV D5 the difference between the maximum and minimum values;WAV D5 the ratio of the largest absolute value to the root-mean-square (RMS).;72 WAV D4 (RMS) root-mean-square ;WAV D4 the difference between the maximum and minimum values;WAV D4 the ratio of the largest absolute value to the root-mean-square (RMS).;WAV D3 (RMS) root-mean-square ;WAV D3 the difference between the maximum and minimum values;WAV D3 the ratio of the largest absolute value to the root-mean-square (RMS).;WAV D2 (RMS) root-mean-square ;WAV D2 the difference between the maximum and minimum values;WAV D2 the ratio of the largest absolute value to the root-mean-square (RMS).;WAV D1 (RMS) root-mean-square ;WAV D1 the difference between the maximum and minimum values;WAV D1 the ratio of the largest absolute value to the root-mean-square (RMS).;Energía de las componentes de la senal;ang_seg_mom;area;circularity;contrast;correlation;elongation;entropy;form;inv_diff_mom;kurtosis;maximum;mean;median;minimum;mode;perimeter;skewness;solidity;std_dev;x_center_mass;x_centroid;x_centroid_cm_diff;y_center_mass;y_centroid;y_centroid_cm_diff
0,099519626;0,245901732;0,108890104;0;0,013447267;0,907095469;0,115646259;0,245920219;0,164060726;0,11055712;0,131990767;0,226631721;0,582529635;0,115646259;0,128440367;0;0,085213469;0,07641939;0,006348506;0,131990767;0,006348506;0,116506383;0,09555981;0,116847826;0,040285065;0,15170042;0,151595245;0,618683227;0,115761605;0,237481934;0,184776721;0,03974794;0,183273015;0,053537285;0,012509424;0,851351351;0,055122108;0,118834935;0,939393939;0,144173075;0,170390012;0,84375;0,199866858;0,190984724;0,06640625;0,194929042;0,117600322;0,281124498;0,103968975;0,02984757;0,609533469;0,062330141;0,581108233;0,122397136;0,132963041;0,096060022;0,353464848;0,678989368;0,158120754;0,031925263;0,060563708;0,006879695;0,069183191;0,087270792;0,133384419;0,177183931;0,156384391;0,353177302;0,253230392;0,194236386;0,276762864;0,335303533;0,311384868;0,241358681;0,155395104;0,094119096;0,034035402;0,050787102;0,029838681;0,098593595;0,132521869;0,053595835;0,168217155;0,139425508;0,998071798;280370;0,821167802;0,000257289;0,846218678;0,998113208;0,012026047;0,00092175;0,999871356;2939,991264;89;60,00980133;60;60;60;2071,356;51,5743417;1;0,410795379;0,406519065;0,405904059;-0,000615006;0,472182596;0,47146933;-0,000713267
0,085818888;0,876725553;0,796870091;0;0,050793451;0,351758166;0,306122449;0,876696819;1;0,238391124;0,554847571;0,400410764;0,290502239;0,306122449;0,431192661;0;0,609854544;0,158920127;0,026218769;0,554847571;0,026218769;0,455804777;0,830984206;0,58763587;0,566581002;0,152464654;0,726924379;0,010171218;0,65308122;0,699654466;0,263976245;0,119728551;0,275768111;0,219885277;0,020583356;0,702702703;0,046862878;0,029598433;0,636363636;0,060142812;0,207176376;0,828125;0,224266605;0,263003594;0,6328125;0,473211433;0,415379499;0,417670683;0,622485624;0,425237071;0,21703854;0,977718094;0,52081579;0,726808126;0,552927722;0,000862122;0,051235694;0,307058871;0,418242704;0,373240052;0,124396443;0,000396185;0,034246452;0,034225001;0,155448276;0,045074666;0,021167946;0,131005859;0,242764926;0,168439522;0,211514255;0,569589521;0,437142928;0,14850764;0,68701653;0,656894354;0,171732808;0,708297908;1;0,472773916;0,650998645;0,468210368;0,363933758;0,151848675;0,884319148;93330;0,823662546;0,028003225;0,94274877;0,996732026;0,584295373;0,001592972;0,994455791;22,35483064;153;62,75377692;60;60;60;1193,276;4,810669668;1;12,64044367;0,240467405;0,239852399;-0,000615006;0,279600571;0,278887304;-0,000713267
0,077419287;0,231335659;0,099950228;0;0,015483892;0,882480945;0,12244898;0,231356723;0,154655913;0,130987961;0,101688207;0,259145879;0,539985787;0,12244898;0,114678899;0;0,084751651;0,092285908;0,009120314;0,101688207;0,009120314;0,099291067;0,130341058;0,027173913;0,082626601;0,251050822;0,162894901;0,487907958;0,127325949;0,2198596;0,247594558;0,056228793;0,237433286;0,070267686;0,024042771;0,918918919;0,151453865;0,130622082;0,090909091;0,16134652;0,163422771;0,6796875;0,186207133;0,20377017;0,14453125;0,205219902;0,070753104;0,15060241;0,108542135;0,054479373;0,60851927;0,081553704;0,58452207;0,139406392;0,105368216;0,112036047;0,270740257;0,722722914;0,14088956;0,039461389;0,063908896;0,055274388;0,079687394;0,22935248;0,524068029;0,180371208;0,12274175;0,276320103;0,211938678;0,175483824;0,334263948;0,338110817;0,26285685;0,138322595;0,141922977;0,116676575;0,121750862;0,057913439;0,031039589;0,099136511;0,133299704;0,037390551;0,107214851;0,182709021;0,972906328;335820;0,82087493;0,005682479;0,915031288;0,998275862;0,152710189;0,000842507;0,998420788;142,0584349;144;60,43222262;60;60;60;2267,356;11,58225519;1;4,451864101;0,422509225;0,421894219;-0,000615006;0,490727532;0,490014265;-0,000713267
0,102425884;0,291444625;0,138864578;0;0,011576716;0,910015047;0,102040816;0,291447689;0,160483938;0,092834404;0,113358929;0,480198316;0,586623477;0,102040816;0,610091743;0;0,099030757;0,053958796;0,003279389;0,113358929;0,003279389;0,345896047;0,110566546;0,478940217;0,147490049;0,895299962;0,233356067;0,237989172;0,097156165;0,25836466;0,170249973;0,033446437;0,183746481;0,040152964;0,013627451;0,054054054;0,085738155;0,153485938;0,727272727;0,157633301;0,221017054;0,84375;0,339110935;0,139289546;0,1171875;0,213091174;0,085303721;0,040160643;0,121295828;0,030891642;0,75862069;0,135109563;0,463721775;0,38290164;0,114943194;0,088251157;0,57445826;0,419570765;0,126788486;0,051045651;0,198457399;0,007697231;0,067677038;0,096939884;0,218717632;0,192160266;0,178300874;0,406295415;0,361463447;0,241580821;0,214511061;0,291128026;0,211387278;0,144408632;0,155530867;0,166207817;0,205317959;0,085405845;0,039490832;0,051126735;0,335245831;0,066874782;0,05684252;0,17111396;0,947094723;371490;0,820722329;0,014298387;0,92336507;0,998360656;0,289352791;0,000801181;0,997117224;59,87911674;153;61,09167407;60;60;60;2384,956;7,638736964;1;7,681243339;0,418819188;0,418204182;-0,000615006;0,486447932;0,485734665;-0,000713267
0,091737047;0,428982203;0,247991272;0;0,026586781;0,723574841;0,108843537;0,428999204;0,379570616;0,14101074;0,265675838;0,440031762;0,426856611;0,108843537;0,302752294;0;0,201740328;0,074284909;0,006013768;0,265675838;0,006013768;0,376016188;0,345781674;0,676630435;0,186261987;0,649980894;0,282067258;0,15882388;0,278873276;0,485033773;0,182777056;0,070770722;0,178647267;0,050191205;0,029055054;0,702702703;0,110877309;0,12988938;0,560606061;0,126736212;0,185520122;0,984375;0,163021761;0,167607579;0,23828125;0,289056076;0,236535346;0,475903614;0,251820279;0,125070994;0,283975659;0,291440999;0,471021202;0,278913643;0,272022641;0,042411413;0,125013801;0,530258452;0,343389389;0,168312285;0,088974326;0,038943749;0,081899604;0,148272729;0,226329965;0,144331025;0,090054071;0,181170357;0,215970588;0,189485156;0,37723658;0,432168886;0,498218367;0,431083891;0,351240786;0,421360143;0,273699433;0,248175029;0,266708191;0,284488484;0,284885678;0,071058071;0,077995972;0,141334192;0,980775936;214832;0,821651464;0,004091077;0,868110547;0,997844828;0,104014966;0,001052409;0,998590437;292,4544527;134;60,21878026;60;60;60;1812,636;16,21675105;1;2,908372531;0,287207872;0,286592866;-0,000615006;0,333808845;0,333095578;-0,000713267
0,094357037;0,405545848;0,227420297;0;0,014705702;0,887028978;0,12244898;0,405554231;0,277980037;0,122379627;0,214864848;0,228560651;0,580091391;0,12244898;0,146788991;0;0,182807509;0,120413914;0,01526271;0,214864848;0,01526271;0,201446194;0,131173991;0,617527174;0,085882215;0,397019488;0,289738557;0,350340531;0,137206601;0,223128592;0,281533673;0,08967523;0,294179261;0,063097514;0,016054997;0,72972973;0,077899201;0,116819891;0,575757576;0,145677525;0,240000788;0,828125;0,21298833;0,248829656;0,390625;0,330233475;0,143663899;0,164658635;0,175145221;0,071684989;0,239350913;0,1769793;0,305889187;0,201398686;0,227595581;0,078679644;0,227304726;0,750480034;0,158947386;0,060078355;0,045871085;0,020563278;0,054938174;0,088061006;0,228085768;0,181186791;0,134075877;0,274324914;0,256874273;0,152904032;0,145315211;0,498421829;0,439650091;0,237391011;0,228393645;0,155043899;0,062900941;0,13289545;0,081387418;0,100708714;0,180224895;0,06404538;0,125266126;0,207368728;0,998481452;295392;0,821080351;0,000244193;0,82528798;0,998161765;0,009792377;0,000898098;0,999886948;3395,741682;97;60,00966174;60;60;60;2126,236;55,78780252;1;0,454050755;0,358548585;0,357933579;-0,000615006;0,416547789;0,415834522;-0,000713267
0,090413078;0,650280855;0,482250297;0;0,021203365;0,701140714;0,115646259;0,650309565;0,533957083;0,133722229;0,546922848;0,169576679;0,497492109;0,115646259;0,055045872;0;0,264920157;0,147056186;0,022529352;0,546922848;0,022529352;0,079028637;0,032855349;0,023097826;0,007621781;0,102789454;0,408869023;0,830100957;0,499465742;0,145174468;0,384075067;0,068831798;0,390865029;0,089866157;0,021414737;0,635135135;0,099529283;0,13239231;0,666666667;0,162853312;0,28487617;0,890625;0,383678521;0,58445412;0,15625;0,396437033;0,130810776;0,196787149;0,140922138;0,032291216;0,438133874;0,058715113;0,517310248;0,151694491;0,546162474;0,034759968;0,329784079;0,825403755;0,075999323;0,006585555;0,019413685;0,002784395;0,072550268;0,145442156;0,322048582;0,205843318;0,125634081;0,167767084;0,488292438;0,408907458;0,378604977;0,735451569;0,585291847;0,161272687;0,225718091;0,236523884;0,224409115;0,045678275;0,032038214;0,12428932;0,159239013;0,040061889;0,070913448;0,255951683;0,887738449;390000;0,82065154;0,032534106;0,948597192;0,9984;0,604446198;0,000782002;0,993084748;33,195583;223;63,12734359;60;60;60;2443,756;5,553773405;1;15,15507745;0,413284133;0,412669127;-0,000615006;0,480028531;0,479315264;-0,000713267
0,103413878;0,592026794;0,41356679;0;0,045219599;0,675335671;0,12244898;0,592076844;0,757487905;0,246308249;0,633017594;0,172038074;0,415445946;0,12244898;0,119266055;0;0,248531058;0,14080831;0,02069875;0,633017594;0,02069875;0,122441966;0,136496051;0,013586957;0,029309752;0,643867023;0,30738266;0,361241345;0,318025382;0,250069316;0,302409441;0,073679108;0,30409557;0,04541109;0,013384567;0,013513514;0,043899885;0,082532571;0,878787879;0,104253571;0,320956739;0,84375;0,248039548;0,269801049;0,26171875;0,336046749;0,193030875;0,248995984;0,207773049;0,055924015;0,113590264;0,090290237;0,4770319;0,075826473;0,631969955;0,02422221;0,248001607;0,729094292;0,253530593;0,025325284;0,012015786;0,005947459;0,052075728;0,075827931;0,169304826;0,17154027;0,101472782;0,166926205;0,392874003;0,425958958;0,549228512;0,641195169;0,810655551;0,495885886;0,383385305;0,457084836;0,265113618;0,106412579;0,062751494;0,105035408;0,100955956;0,033336881;0,095326173;0,214707117;0,87746013;354620;0,820791625;0,049304428;0,893618009;0,998322148;0,600077675;0,00081995;0,988788362;33,68927714;197;62,57967684;60;60;60;2330,076;5,571609301;1;12,43957279;0,410209102;0,409594096;-0,000615006;0,476462197;0,47574893;-0,000713267
0,100680898;0,322187263;0,16083094;0;0,020776634;0,859912546;0,142857143;0,322188486;0,313114184;0,178217068;0,131289415;0,278888184;0,534366788;0,142857143;0,197247706;0;0,112922227;0,069175832;0,005249282;0,131289415;0,005249282;0,208968144;0,127534171;0,014266304;0,085860617;0,430645778;0,256012547;0,314812305;0,112522756;0,231518132;0,249522425;0,04992729;0,218833719;0,087954111;0,022548103;0,513513514;0,13670625;0,09889926;0,636363636;0,128616522;0,190981599;0,875;0,255454364;0,214560236;0,21875;0,291185129;0,154412714;0,18875502;0,146823442;0,045839928;0,363083164;0,135465582;0,426361688;0,233806875;0,132527592;0,042462637;0,29356246;0,693312369;0,158831226;0,051077115;0,073842678;0,01925828;0,076671061;0,166801411;0,311463111;0,141391323;0,079608913;0,128036252;0,274256242;0,234000447;0,341805389;0,402714766;0,3936405;0,332765543;0,187911762;0,180985089;0,172541759;0,093657719;0,089043328;0,21631246;0,193979196;0,067842096;0,138757343;0,281650634;0,968181138;252506;0,821350261;0,007230044;0,900181761;0,998011928;0,17294893;0,00097107;0,998151154;126,8776722;134;60,46987398;60;60;60;1965,516;10,93608027;1;4,531241025;0,434194342;0,433579336;-0,000615006;0,504279601;0,503566334;-0,000713267
0,051590478;0,931986215;0,885150805;0;0,00717932;0,498051789;0,197278912;0,932057988;0,301404428;0,028671866;0,998070176;0,118558677;0,697844536;0,197278912;0,28440367;0;0,564377015;0,201254713;0,041661804;0,998070176;0,041661804;0,302142206;0,342464611;0,581521739;0,156578211;0,023309133;0,586230271;0,163155651;0,910655644;0,486712091;0,329164479;0,130392632;0,352419034;0,082217973;0,042894111;0;0,080023855;0,157859101;0,757575758;0,246973385;0,183660329;0,890625;0,284395418;0,317978186;0,32421875;0,546181232;0,352402682;0,391566265;0,527963606;0,268542774;0,212981744;0,47645042;0,221353846;0,325309562;0,994230945;0,035208104;0,092457352;0,573736355;0,42287916;0,14188375;0,034898565;0,001497268;0,114719343;0,146603132;0,208565426;0,323843563;0,277053732;0,35419782;0,345775719;0,272027222;0,313379605;0,822995672;0,646529418;0,159237667;0,728252115;0,630378638;0,136142124;0,447363067;0,51217198;0,315005887;0,337148415;0,24048249;0,326312884;0,099676433;0,877795133;185330;0,821949105;0,038788534;0,904670202;0,997679814;0,602795017;0,001132689;0,991264648;27,21836317;162;62,43277397;60;60;60;1683,276;5,152394204;1;11,37481163;0,314883149;0,314268143;-0,000615006;0,365905849;0,365192582;-0,000713267
